"run","random_seed","AverageAcceptLastRound"
1,1,0.9375
3,3,0.875
5,5,0.9375
7,7,0.9375
9,9,0.875
11,11,0.875
13,13,0.875
15,15,0.8125
17,17,0.6875
19,19,0.8125
21,21,0.6875
23,23,0.8125
25,25,0.8125
27,27,0.875
29,29,0.875
31,31,0.875
33,33,0.8125
35,35,0.9375
37,37,0.8125
39,39,0.875
41,41,0.8125
43,43,0.9375
45,45,0.875
47,47,0.875
49,49,0.9375
51,1,0.9375
53,3,0.9375
55,5,1.0
57,7,1.0
59,9,0.875
61,11,1.0
63,13,0.9375
65,15,0.875
67,17,0.8125
69,19,0.875
71,21,0.8125
73,23,0.9375
75,25,0.9375
77,27,0.9375
79,29,1.0
81,31,0.9375
83,33,0.875
85,35,1.0
87,37,0.875
89,39,0.9375
91,41,0.9375
93,43,1.0
95,45,0.9375
97,47,0.9375
99,49,0.9375
101,1,1.0
103,3,0.9375
105,5,1.0
107,7,1.0
109,9,0.9375
111,11,1.0
113,13,0.9375
115,15,1.0
117,17,0.8125
119,19,0.875
121,21,0.875
123,23,0.9375
125,25,1.0
127,27,0.9375
129,29,1.0
131,31,0.9375
133,33,0.875
135,35,1.0
137,37,0.875
139,39,0.9375
141,41,0.9375
143,43,1.0
145,45,0.9375
147,47,0.9375
149,49,0.9375
151,1,1.0
153,3,0.9375
155,5,1.0
157,7,1.0
159,9,1.0
161,11,1.0
163,13,1.0
165,15,1.0
167,17,0.875
169,19,0.875
171,21,0.875
173,23,0.9375
175,25,1.0
177,27,0.9375
179,29,1.0
181,31,0.9375
183,33,0.875
185,35,1.0
187,37,0.875
189,39,0.9375
191,41,0.9375
193,43,1.0
195,45,0.9375
197,47,0.9375
199,49,0.9375
201,1,1.0
203,3,0.9375
205,5,1.0
207,7,1.0
209,9,1.0
211,11,1.0
213,13,1.0
215,15,1.0
217,17,0.875
219,19,0.875
221,21,0.875
223,23,1.0
225,25,1.0
227,27,1.0
229,29,1.0
231,31,0.9375
233,33,0.875
235,35,1.0
237,37,0.875
239,39,1.0
241,41,0.9375
243,43,1.0
245,45,0.9375
247,47,1.0
249,49,0.9375
251,1,1.0
253,3,0.9375
255,5,1.0
257,7,1.0
259,9,1.0
261,11,1.0
263,13,1.0
265,15,1.0
267,17,0.875
269,19,1.0
271,21,0.875
273,23,1.0
275,25,1.0
277,27,1.0
279,29,1.0
281,31,0.9375
283,33,0.875
285,35,1.0
287,37,0.875
289,39,1.0
291,41,0.9375
293,43,1.0
295,45,0.9375
297,47,1.0
299,49,1.0
301,1,1.0
303,3,0.9375
305,5,1.0
307,7,1.0
309,9,1.0
311,11,1.0
313,13,1.0
315,15,1.0
317,17,0.9375
319,19,1.0
321,21,0.875
323,23,1.0
325,25,1.0
327,27,1.0
329,29,1.0
331,31,0.9375
333,33,0.9375
335,35,1.0
337,37,0.875
339,39,1.0
341,41,0.9375
343,43,1.0
345,45,0.9375
347,47,1.0
349,49,1.0
351,1,1.0
353,3,0.9375
355,5,1.0
357,7,1.0
359,9,1.0
361,11,1.0
363,13,1.0
365,15,1.0
367,17,0.9375
369,19,1.0
371,21,0.875
373,23,1.0
375,25,1.0
377,27,1.0
379,29,1.0
381,31,0.9375
383,33,0.875
385,35,1.0
387,37,0.875
389,39,1.0
391,41,0.9375
393,43,1.0
395,45,0.9375
397,47,1.0
399,49,1.0
401,1,1.0
403,3,0.9375
405,5,1.0
407,7,1.0
409,9,1.0
411,11,1.0
413,13,1.0
415,15,1.0
417,17,0.9375
419,19,1.0
421,21,0.875
423,23,1.0
425,25,1.0
427,27,1.0
429,29,1.0
431,31,0.9375
433,33,0.875
435,35,1.0
437,37,0.875
439,39,1.0
441,41,0.9375
443,43,1.0
445,45,0.9375
447,47,1.0
449,49,1.0
2,2,0.875
4,4,0.6875
6,6,0.9375
8,8,0.6875
10,10,1.0
12,12,0.625
14,14,0.9375
16,16,0.75
18,18,0.875
20,20,0.8125
22,22,0.9375
24,24,0.875
26,26,0.875
28,28,0.8125
30,30,0.8125
32,32,0.75
34,34,0.8125
36,36,1.0
38,38,0.9375
40,40,0.625
42,42,0.8125
44,44,0.75
46,46,0.9375
48,48,0.875
50,50,0.8125
52,2,0.875
54,4,0.875
56,6,0.9375
58,8,0.8125
60,10,1.0
62,12,0.6875
64,14,0.9375
66,16,0.8125
68,18,0.9375
70,20,0.8125
72,22,0.9375
74,24,0.9375
76,26,0.875
78,28,0.9375
80,30,0.875
82,32,0.875
84,34,0.875
86,36,1.0
88,38,0.875
90,40,0.8125
92,42,0.875
94,44,0.875
96,46,0.9375
98,48,1.0
100,50,0.9375
102,2,0.9375
104,4,1.0
106,6,0.9375
108,8,0.9375
110,10,1.0
112,12,0.875
114,14,0.9375
116,16,0.9375
118,18,0.9375
120,20,0.875
122,22,0.9375
124,24,0.9375
126,26,0.875
128,28,0.9375
130,30,0.875
132,32,0.9375
134,34,0.875
136,36,1.0
138,38,0.875
140,40,0.9375
142,42,0.9375
144,44,0.9375
146,46,0.9375
148,48,1.0
150,50,0.9375
152,2,1.0
154,4,1.0
156,6,0.9375
158,8,0.9375
160,10,1.0
162,12,0.875
164,14,0.9375
166,16,0.9375
168,18,0.9375
170,20,0.9375
172,22,0.9375
174,24,0.9375
176,26,0.875
178,28,0.9375
180,30,1.0
182,32,0.9375
184,34,1.0
186,36,1.0
188,38,0.875
190,40,0.9375
192,42,0.9375
194,44,0.9375
196,46,0.9375
198,48,1.0
200,50,1.0
202,2,1.0
204,4,1.0
206,6,1.0
208,8,0.9375
210,10,1.0
212,12,0.875
214,14,0.9375
216,16,1.0
218,18,0.9375
220,20,0.9375
222,22,1.0
224,24,0.9375
226,26,0.875
228,28,0.9375
230,30,1.0
232,32,1.0
234,34,1.0
236,36,1.0
238,38,0.875
240,40,0.9375
242,42,0.9375
244,44,0.9375
246,46,0.9375
248,48,1.0
250,50,1.0
252,2,1.0
254,4,1.0
256,6,1.0
258,8,0.9375
260,10,1.0
262,12,0.875
264,14,0.9375
266,16,1.0
268,18,0.9375
270,20,0.9375
272,22,1.0
274,24,0.9375
276,26,0.875
278,28,0.9375
280,30,1.0
282,32,1.0
284,34,0.9375
286,36,1.0
288,38,0.875
290,40,0.9375
292,42,0.9375
294,44,0.9375
296,46,1.0
298,48,1.0
300,50,1.0
302,2,1.0
304,4,1.0
306,6,1.0
308,8,0.9375
310,10,1.0
312,12,0.875
314,14,1.0
316,16,1.0
318,18,0.9375
320,20,1.0
322,22,1.0
324,24,0.9375
326,26,0.875
328,28,0.9375
330,30,1.0
332,32,1.0
334,34,0.9375
336,36,1.0
338,38,0.875
340,40,0.9375
342,42,0.9375
344,44,0.9375
346,46,1.0
348,48,1.0
350,50,1.0
352,2,1.0
354,4,1.0
356,6,1.0
358,8,0.9375
360,10,1.0
362,12,0.875
364,14,1.0
366,16,1.0
368,18,0.9375
370,20,1.0
372,22,1.0
374,24,0.9375
376,26,0.875
378,28,0.9375
380,30,1.0
382,32,1.0
384,34,0.9375
386,36,1.0
388,38,0.875
390,40,1.0
392,42,0.9375
394,44,0.9375
396,46,1.0
398,48,1.0
400,50,1.0
402,2,1.0
404,4,1.0
406,6,1.0
408,8,0.9375
410,10,1.0
412,12,0.875
414,14,1.0
416,16,1.0
418,18,0.9375
420,20,1.0
422,22,1.0
424,24,1.0
426,26,0.875
428,28,0.9375
430,30,1.0
432,32,1.0
434,34,0.9375
436,36,1.0
438,38,0.875
440,40,1.0
442,42,0.9375
444,44,0.9375
446,46,1.0
448,48,1.0
450,50,1.0
