"run","random_seed","AverageAcceptLastRound"
1,1,1.0
3,3,1.0
5,5,0.9375
7,7,1.0
9,9,1.0
11,11,0.875
13,13,1.0
15,15,1.0
17,17,0.9375
19,19,1.0
21,21,0.875
23,23,1.0
25,25,1.0
27,27,1.0
29,29,1.0
31,31,1.0
33,33,0.875
35,35,1.0
37,37,1.0
39,39,1.0
41,41,0.9375
43,43,0.9375
45,45,1.0
47,47,1.0
49,49,1.0
51,51,0.9375
53,53,1.0
55,55,0.9375
57,57,0.875
59,59,1.0
61,61,0.9375
63,63,1.0
65,65,0.9375
67,67,0.875
69,69,1.0
71,71,1.0
73,73,1.0
75,75,0.875
77,77,1.0
79,79,1.0
81,81,1.0
83,83,1.0
85,85,0.9375
87,87,1.0
89,89,1.0
91,91,1.0
93,93,1.0
95,95,0.875
97,97,0.9375
99,99,0.875
101,1,1.0
103,3,1.0
105,5,0.9375
107,7,1.0
109,9,1.0
111,11,0.875
113,13,1.0
115,15,1.0
117,17,0.9375
119,19,1.0
121,21,0.875
123,23,1.0
125,25,1.0
127,27,1.0
129,29,1.0
131,31,1.0
133,33,0.875
135,35,1.0
137,37,1.0
139,39,1.0
141,41,0.9375
143,43,0.9375
145,45,1.0
147,47,1.0
149,49,1.0
151,51,0.9375
153,53,1.0
155,55,0.9375
157,57,0.875
159,59,1.0
161,61,0.9375
163,63,1.0
165,65,0.9375
167,67,0.875
169,69,1.0
171,71,1.0
173,73,1.0
175,75,0.875
177,77,1.0
179,79,1.0
181,81,1.0
183,83,1.0
185,85,0.9375
187,87,1.0
189,89,1.0
191,91,1.0
193,93,1.0
195,95,0.875
197,97,0.9375
199,99,0.875
201,1,1.0
203,3,1.0
205,5,0.9375
207,7,1.0
209,9,1.0
211,11,0.875
213,13,1.0
215,15,1.0
217,17,0.9375
219,19,1.0
221,21,0.875
223,23,1.0
225,25,1.0
227,27,1.0
229,29,1.0
231,31,1.0
233,33,0.875
235,35,1.0
237,37,1.0
239,39,1.0
241,41,0.9375
243,43,0.9375
245,45,1.0
247,47,1.0
249,49,1.0
251,51,0.9375
253,53,1.0
255,55,0.9375
257,57,0.875
259,59,1.0
261,61,0.9375
263,63,1.0
265,65,0.9375
267,67,0.875
269,69,1.0
271,71,1.0
273,73,1.0
275,75,0.875
277,77,1.0
279,79,1.0
281,81,1.0
283,83,1.0
285,85,0.9375
287,87,1.0
289,89,1.0
291,91,1.0
293,93,1.0
295,95,0.875
297,97,0.9375
299,99,0.875
301,1,1.0
303,3,1.0
305,5,0.9375
307,7,1.0
309,9,1.0
311,11,0.875
313,13,1.0
315,15,1.0
317,17,0.9375
319,19,1.0
321,21,0.875
323,23,1.0
325,25,1.0
327,27,1.0
329,29,1.0
331,31,1.0
333,33,0.875
335,35,1.0
337,37,1.0
339,39,1.0
341,41,0.9375
343,43,0.9375
345,45,1.0
347,47,1.0
349,49,1.0
351,51,0.9375
353,53,1.0
355,55,0.9375
357,57,0.875
359,59,1.0
361,61,0.9375
363,63,1.0
365,65,0.9375
367,67,0.875
369,69,1.0
371,71,1.0
373,73,1.0
375,75,0.875
377,77,1.0
379,79,1.0
381,81,1.0
383,83,1.0
385,85,0.9375
387,87,1.0
389,89,1.0
391,91,1.0
393,93,1.0
395,95,0.875
397,97,0.9375
399,99,0.875
401,1,1.0
403,3,1.0
405,5,0.9375
407,7,1.0
409,9,1.0
411,11,0.875
413,13,1.0
415,15,1.0
417,17,0.9375
419,19,1.0
421,21,0.875
423,23,1.0
425,25,1.0
427,27,1.0
429,29,1.0
431,31,1.0
433,33,0.875
435,35,1.0
437,37,1.0
439,39,1.0
441,41,0.9375
443,43,0.9375
445,45,1.0
447,47,1.0
449,49,1.0
451,51,0.9375
453,53,1.0
455,55,0.9375
457,57,0.875
459,59,1.0
461,61,0.9375
463,63,1.0
465,65,0.9375
467,67,0.875
469,69,1.0
471,71,1.0
473,73,1.0
475,75,0.875
477,77,1.0
479,79,1.0
481,81,1.0
483,83,1.0
485,85,0.9375
487,87,1.0
489,89,1.0
491,91,1.0
493,93,1.0
495,95,0.875
497,97,0.9375
499,99,0.875
501,1,1.0
503,3,1.0
505,5,0.9375
507,7,1.0
509,9,1.0
511,11,0.875
513,13,1.0
515,15,1.0
517,17,0.9375
519,19,1.0
521,21,0.875
523,23,1.0
525,25,1.0
527,27,1.0
529,29,1.0
531,31,1.0
533,33,0.875
535,35,1.0
537,37,1.0
539,39,1.0
541,41,0.9375
543,43,0.9375
545,45,1.0
547,47,1.0
549,49,1.0
551,51,0.9375
553,53,1.0
555,55,0.9375
557,57,0.875
559,59,1.0
561,61,0.9375
563,63,1.0
565,65,0.9375
567,67,0.875
569,69,1.0
571,71,1.0
573,73,1.0
575,75,0.875
577,77,1.0
579,79,1.0
581,81,1.0
583,83,1.0
585,85,0.9375
587,87,1.0
589,89,1.0
591,91,1.0
593,93,1.0
595,95,0.875
597,97,0.9375
599,99,0.875
601,1,1.0
603,3,1.0
605,5,0.9375
607,7,1.0
609,9,1.0
611,11,0.875
613,13,1.0
615,15,1.0
617,17,0.9375
619,19,1.0
621,21,0.875
623,23,1.0
625,25,1.0
627,27,1.0
629,29,1.0
631,31,1.0
633,33,0.875
635,35,1.0
637,37,1.0
639,39,1.0
641,41,0.9375
643,43,0.9375
645,45,1.0
647,47,1.0
649,49,1.0
651,51,0.9375
653,53,1.0
655,55,0.9375
657,57,0.875
659,59,1.0
661,61,0.9375
663,63,1.0
665,65,0.9375
667,67,0.875
669,69,1.0
671,71,1.0
673,73,1.0
675,75,0.875
677,77,1.0
679,79,1.0
681,81,1.0
683,83,1.0
685,85,0.9375
687,87,1.0
689,89,1.0
691,91,1.0
693,93,1.0
695,95,0.875
697,97,0.9375
699,99,0.875
701,1,1.0
703,3,1.0
705,5,0.9375
707,7,1.0
709,9,1.0
711,11,0.875
713,13,1.0
715,15,1.0
717,17,0.9375
719,19,1.0
721,21,0.875
723,23,1.0
725,25,1.0
727,27,1.0
729,29,1.0
731,31,1.0
733,33,0.875
735,35,1.0
737,37,1.0
739,39,1.0
741,41,0.9375
743,43,0.9375
745,45,1.0
747,47,1.0
749,49,1.0
751,51,0.9375
753,53,1.0
755,55,0.9375
757,57,0.875
759,59,1.0
761,61,0.9375
763,63,1.0
765,65,0.9375
767,67,0.875
769,69,1.0
771,71,1.0
773,73,1.0
775,75,0.875
777,77,1.0
779,79,1.0
781,81,1.0
783,83,1.0
785,85,0.9375
787,87,1.0
789,89,1.0
791,91,1.0
793,93,1.0
795,95,0.875
797,97,0.9375
799,99,0.875
801,1,1.0
803,3,1.0
805,5,0.9375
807,7,1.0
809,9,1.0
811,11,0.875
813,13,1.0
815,15,1.0
817,17,0.9375
819,19,1.0
821,21,0.875
823,23,1.0
825,25,1.0
827,27,1.0
829,29,1.0
831,31,1.0
833,33,0.875
835,35,1.0
837,37,1.0
839,39,1.0
841,41,0.9375
843,43,0.9375
845,45,1.0
847,47,1.0
849,49,1.0
851,51,0.9375
853,53,1.0
855,55,0.9375
857,57,0.875
859,59,1.0
861,61,0.9375
863,63,1.0
865,65,0.9375
867,67,0.875
869,69,1.0
871,71,1.0
873,73,1.0
875,75,0.875
877,77,1.0
879,79,1.0
881,81,1.0
883,83,1.0
885,85,0.9375
887,87,1.0
889,89,1.0
891,91,1.0
893,93,1.0
895,95,0.875
897,97,0.9375
899,99,0.875
901,1,1.0
903,3,1.0
905,5,0.9375
907,7,1.0
909,9,1.0
911,11,0.875
913,13,1.0
915,15,1.0
917,17,0.9375
919,19,1.0
921,21,0.875
923,23,1.0
925,25,1.0
927,27,1.0
929,29,1.0
931,31,1.0
933,33,0.875
935,35,1.0
937,37,1.0
939,39,1.0
941,41,0.9375
943,43,0.9375
945,45,1.0
947,47,1.0
949,49,1.0
951,51,0.9375
953,53,1.0
955,55,0.9375
957,57,0.875
959,59,1.0
961,61,0.9375
963,63,1.0
965,65,0.9375
967,67,0.875
969,69,1.0
971,71,1.0
973,73,1.0
975,75,0.875
977,77,1.0
979,79,1.0
981,81,1.0
983,83,1.0
985,85,0.9375
987,87,1.0
989,89,1.0
991,91,1.0
993,93,1.0
995,95,0.875
997,97,0.9375
999,99,0.875
2,2,1.0
4,4,1.0
6,6,0.9375
8,8,0.9375
10,10,1.0
12,12,0.9375
14,14,1.0
16,16,0.9375
18,18,0.8125
20,20,0.875
22,22,0.9375
24,24,1.0
26,26,0.9375
28,28,0.9375
30,30,0.9375
32,32,0.9375
34,34,0.9375
36,36,0.9375
38,38,0.875
40,40,1.0
42,42,0.9375
44,44,1.0
46,46,1.0
48,48,1.0
50,50,1.0
52,52,0.9375
54,54,0.875
56,56,1.0
58,58,1.0
60,60,0.9375
62,62,1.0
64,64,0.875
66,66,1.0
68,68,0.875
70,70,0.9375
72,72,0.9375
74,74,1.0
76,76,0.9375
78,78,1.0
80,80,1.0
82,82,1.0
84,84,1.0
86,86,1.0
88,88,0.9375
90,90,0.9375
92,92,1.0
94,94,1.0
96,96,0.9375
98,98,1.0
100,100,1.0
102,2,1.0
104,4,1.0
106,6,0.9375
108,8,0.9375
110,10,1.0
112,12,0.9375
114,14,1.0
116,16,0.9375
118,18,0.8125
120,20,0.875
122,22,0.9375
